"","StrainID","Drug","metric","date","median_value","perc","perc_inhibition","SILVA_Species","Strain_Info","GTDB_08-rs214_taxonomy"
"13","JEB58338","PFOS-high","AUC","20260227",37.406,110.4535,-10.4535,"Eubacterium limosum","DSM 25846","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium limosum"
"14","JEB58338","PFOSNO-high","AUC","20260107",23.0705,92.765,7.235,"Eubacterium limosum","DSM 25846","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium limosum"
"15","JEB58338","PFOSNO-low","AUC","20260423",56.1437,107.393,-7.393,"Eubacterium limosum","DSM 25846","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium limosum"
"16","JEB58338","PFOS-high","AUC","20260623",58.3766,60.7216,39.2784,"Eubacterium limosum","DSM 25846","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium limosum"
"17","JEB21905","PFOSNO-high","AUC","20260428",23.9922,98.8939,1.1061,"Enterobacter sp. RHBSTW-00975","DSM 47301","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter sp. RHBSTW-00975"
"18","JEB21905","PFOS-high","AUC","20260314",43.9295,105.1368,-5.13679999999999,"Enterobacter sp. RHBSTW-00975","DSM 47301","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter sp. RHBSTW-00975"
"19","JEB21905","Veh","AUC","20260311",42.3411,105.1376,-5.13760000000001,"Enterobacter sp. RHBSTW-00975","DSM 47301","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter sp. RHBSTW-00975"
"20","JEB21905","Veh","AUC","20260531",23.0464,95.7004,4.2996,"Enterobacter sp. RHBSTW-00975","DSM 47301","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter sp. RHBSTW-00975"
"21","JEB21905","PFOSNO-low","AUC","20260410",59.5689,93.6812,6.3188,"Enterobacter sp. RHBSTW-00975","DSM 47301","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter sp. RHBSTW-00975"
"22","JEB35050","Veh","AUC","20260124",28.3629,117.2547,-17.2547,"Streptococcus pasteurianus","DSM 41281","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pasteurianus"
"23","JEB35050","PFOS-low","AUC","20260221",33.353,111.3474,-11.3474,"Streptococcus pasteurianus","DSM 41281","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pasteurianus"
"24","JEB35050","PFOS-low","AUC","20260701",40.498,92.3844,7.6156,"Streptococcus pasteurianus","DSM 41281","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pasteurianus"
"25","JEB35050","PFOS-high","AUC","20260518",26.2927,97.1557,2.8443,"Streptococcus pasteurianus","DSM 41281","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pasteurianus"
"26","JEB35050","PFOSNO-low","AUC","20260418",22.2116,74.7847,25.2153,"Streptococcus pasteurianus","DSM 41281","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pasteurianus"
"27","JEB40881","PFOSNO-low","AUC","20260509",52.4147,76.337,23.663,"Ruminococcus bovis","DSM 97114","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus bovis"
"28","JEB40881","PFOS-low","AUC","20260715",39.1435,100.3122,-0.312200000000004,"Ruminococcus bovis","DSM 97114","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus bovis"
"29","JEB40881","PFOSNO-high","AUC","20260508",34.8264,92.3896,7.6104,"Ruminococcus bovis","DSM 97114","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus bovis"
"30","JEB40881","PFOS-low","AUC","20260718",22.9163,91.1869,8.81310000000001,"Ruminococcus bovis","DSM 97114","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus bovis"
"31","JEB40881","Veh","AUC","20260413",42.7959,108.3927,-8.3927,"Ruminococcus bovis","DSM 97114","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus bovis"
"32","JEB40881","PFOS-low","AUC","20260529",37.3165,97.3964,2.6036,"Ruminococcus bovis","DSM 97114","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus bovis"
"33","JEB68700","PFOS-low","AUC","20260402",42.553,96.0944,3.90560000000001,"Bacteroides eggerthii","DSM 21626","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii"
"34","JEB68700","Veh","AUC","20260115",54.2815,47.5548,52.4452,"Bacteroides eggerthii","DSM 21626","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii"
"35","JEB68700","PFOS-low","AUC","20260222",27.0278,83.0133,16.9867,"Bacteroides eggerthii","DSM 21626","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii"
"36","JEB68700","PFOS-high","AUC","20260424",35.3854,98.5222,1.4778,"Bacteroides eggerthii","DSM 21626","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii"
"37","JEB54762","Veh","AUC","20260418",36.0042,80.0404,19.9596,"Proteus mirabilis","DSM 71925","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus;s__Proteus mirabilis"
"38","JEB54762","PFOS-high","AUC","20260316",46.359,109.4566,-9.4566,"Proteus mirabilis","DSM 71925","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus;s__Proteus mirabilis"
"39","JEB54762","PFOSNO-low","AUC","20260704",40.2493,87.4435,12.5565,"Proteus mirabilis","DSM 71925","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus;s__Proteus mirabilis"
"40","JEB54762","PFOS-high","AUC","20260415",24.512,89.7371,10.2629,"Proteus mirabilis","DSM 71925","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus;s__Proteus mirabilis"
"41","JEB54762","Veh","AUC","20260201",33.1287,91.3307,8.66930000000001,"Proteus mirabilis","DSM 71925","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus;s__Proteus mirabilis"
"42","JEB54762","PFOS-low","AUC","20260307",29.1681,90.2167,9.7833,"Proteus mirabilis","DSM 71925","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus;s__Proteus mirabilis"
"43","JEB54762","PFOSNO-high","AUC","20260606",38.8832,92.6824,7.3176,"Proteus mirabilis","DSM 71925","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus;s__Proteus mirabilis"
"44","JEB54762","PFOSNO-high","AUC","20260428",35.867,92.7145,7.2855,"Proteus mirabilis","DSM 71925","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus;s__Proteus mirabilis"
"45","JEB22758","PFOS-low","AUC","20260615",58.0118,100.353,-0.352999999999994,"Clostridium chauvoei","DSM 40260","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium chauvoei"
"46","JEB22758","PFOSNO-high","AUC","20260408",46.3227,110.7931,-10.7931,"Clostridium chauvoei","DSM 40260","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium chauvoei"
"47","JEB22758","PFOS-low","AUC","20260514",41.3501,108.2008,-8.2008,"Clostridium chauvoei","DSM 40260","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium chauvoei"
"48","JEB22758","PFOS-low","AUC","20260331",56.8314,82.3351,17.6649,"Clostridium chauvoei","DSM 40260","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium chauvoei"
"49","JEB50558","PFOSNO-high","AUC","20260220",26.7017,105.2702,-5.2702,"Lachnoclostridium phocaeense","DSM 96696","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium;s__Lachnoclostridium phocaeense"
"50","JEB50558","PFOSNO-low","AUC","20260409",58.992,108.6658,-8.6658,"Lachnoclostridium phocaeense","DSM 96696","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium;s__Lachnoclostridium phocaeense"
"51","JEB50558","Veh","AUC","20260128",53.4276,105.5895,-5.5895,"Lachnoclostridium phocaeense","DSM 96696","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium;s__Lachnoclostridium phocaeense"
"52","JEB50558","PFOSNO-high","AUC","20260527",57.0529,66.9735,33.0265,"Lachnoclostridium phocaeense","DSM 96696","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium;s__Lachnoclostridium phocaeense"
"53","JEB50558","PFOS-low","AUC","20260503",40.2242,93.3469,6.6531,"Lachnoclostridium phocaeense","DSM 96696","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium;s__Lachnoclostridium phocaeense"
"54","JEB50558","Veh","AUC","20260207",58.2129,92.4601,7.5399,"Lachnoclostridium phocaeense","DSM 96696","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium;s__Lachnoclostridium phocaeense"
"55","JEB88860","Veh","AUC","20260531",45.108,99.6833,0.316699999999997,"Blautia parvula","DSM 61340","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia parvula"
"56","JEB88860","Veh","AUC","20260205",43.2892,113.4169,-13.4169,"Blautia parvula","DSM 61340","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia parvula"
"57","JEB88860","Veh","AUC","20260207",33.8052,90.6245,9.3755,"Blautia parvula","DSM 61340","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia parvula"
"58","JEB88860","PFOSNO-high","AUC","20260607",56.1058,98.4763,1.52370000000001,"Blautia parvula","DSM 61340","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia parvula"
"59","JEB88860","PFOS-high","AUC","20260610",47.7077,102.1314,-2.1314,"Blautia parvula","DSM 61340","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia parvula"
"60","JEB88860","Veh","AUC","20260101",21.788,74.2879,25.7121,"Blautia parvula","DSM 61340","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia parvula"
"61","JEB88860","PFOS-low","AUC","20260224",37.7147,96.8568,3.14319999999999,"Blautia parvula","DSM 61340","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia parvula"
"62","JEB88860","PFOS-high","AUC","20260110",21.8325,103.0538,-3.0538,"Blautia parvula","DSM 61340","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia parvula"
"63","JEB56307","Veh","AUC","20260210",55.4899,81.9753,18.0247,"Parabacteroides johnsonii","DSM 81590","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides johnsonii"
"64","JEB56307","PFOSNO-low","AUC","20260711",40.619,108.5821,-8.5821,"Parabacteroides johnsonii","DSM 81590","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides johnsonii"
"65","JEB56307","PFOS-high","AUC","20260416",28.5488,112.7878,-12.7878,"Parabacteroides johnsonii","DSM 81590","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides johnsonii"
"66","JEB56307","PFOSNO-high","AUC","20260127",53.6775,109.767,-9.767,"Parabacteroides johnsonii","DSM 81590","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides johnsonii"
"67","JEB56307","PFOS-low","AUC","20260718",42.2149,110.3422,-10.3422,"Parabacteroides johnsonii","DSM 81590","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides johnsonii"
"68","JEB56307","PFOS-high","AUC","20260305",49.7836,120.5651,-20.5651,"Parabacteroides johnsonii","DSM 81590","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides johnsonii"
"69","JEB56307","PFOSNO-high","AUC","20260717",46.7577,101.5332,-1.53319999999999,"Parabacteroides johnsonii","DSM 81590","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides johnsonii"
"70","JEB56307","PFOSNO-high","AUC","20260703",54.2265,94.0173,5.98269999999999,"Parabacteroides johnsonii","DSM 81590","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides johnsonii"
"71","JEB41166","Veh","AUC","20260104",33.4848,115.3745,-15.3745,"Enterobacter sp. DNB-S2","DSM 64088","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter sp. DNB-S2"
"72","JEB41166","PFOSNO-high","AUC","20260122",40.6986,119.4662,-19.4662,"Enterobacter sp. DNB-S2","DSM 64088","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter sp. DNB-S2"
"73","JEB41166","PFOS-low","AUC","20260512",59.7883,139.872,-39.872,"Enterobacter sp. DNB-S2","DSM 64088","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter sp. DNB-S2"
"74","JEB41166","PFOSNO-high","AUC","20260717",23.1038,107.8833,-7.8833,"Enterobacter sp. DNB-S2","DSM 64088","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter sp. DNB-S2"
"75","JEB41166","PFOSNO-low","AUC","20260607",31.9834,111.1838,-11.1838,"Enterobacter sp. DNB-S2","DSM 64088","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter sp. DNB-S2"
"76","JEB41166","PFOSNO-high","AUC","20260515",54.7647,91.3395,8.6605,"Enterobacter sp. DNB-S2","DSM 64088","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter sp. DNB-S2"
"77","JEB41166","PFOS-high","AUC","20260304",45.1293,76.1981,23.8019,"Enterobacter sp. DNB-S2","DSM 64088","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter sp. DNB-S2"
"78","JEB41166","PFOS-high","AUC","20260222",34.0468,107.4365,-7.4365,"Enterobacter sp. DNB-S2","DSM 64088","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter sp. DNB-S2"
"79","JEB13141","PFOS-low","AUC","20260619",32.1163,101.2196,-1.2196,"Streptococcus sp. FDAARGOS_192","DSM 3640","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp. FDAARGOS_192"
"80","JEB13141","Veh","AUC","20260111",24.1526,87.0071,12.9929,"Streptococcus sp. FDAARGOS_192","DSM 3640","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp. FDAARGOS_192"
"81","JEB13141","Veh","AUC","20260610",24.1951,111.3797,-11.3797,"Streptococcus sp. FDAARGOS_192","DSM 3640","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp. FDAARGOS_192"
"82","JEB13141","PFOSNO-high","AUC","20260110",43.0493,113.0164,-13.0164,"Streptococcus sp. FDAARGOS_192","DSM 3640","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp. FDAARGOS_192"
"83","JEB13141","PFOSNO-high","AUC","20260521",25.9804,90.3413,9.6587,"Streptococcus sp. FDAARGOS_192","DSM 3640","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp. FDAARGOS_192"
"84","JEB85879","PFOSNO-low","AUC","20260216",41.6439,84.7333,15.2667,"Bifidobacterium sp. KRGSERBCFTRI","DSM 45875","d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp. KRGSERBCFTRI"
"85","JEB85879","Veh","AUC","20260209",29.023,132.9337,-32.9337,"Bifidobacterium sp. KRGSERBCFTRI","DSM 45875","d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp. KRGSERBCFTRI"
"86","JEB85879","PFOS-high","AUC","20260516",59.4885,102.2107,-2.2107,"Bifidobacterium sp. KRGSERBCFTRI","DSM 45875","d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp. KRGSERBCFTRI"
"87","JEB85879","PFOSNO-low","AUC","20260301",25.146,116.9914,-16.9914,"Bifidobacterium sp. KRGSERBCFTRI","DSM 45875","d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp. KRGSERBCFTRI"
"88","JEB85879","PFOSNO-low","AUC","20260314",35.4558,127.7416,-27.7416,"Bifidobacterium sp. KRGSERBCFTRI","DSM 45875","d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp. KRGSERBCFTRI"
"89","JEB85879","PFOS-high","AUC","20260512",29.5003,114.8655,-14.8655,"Bifidobacterium sp. KRGSERBCFTRI","DSM 45875","d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp. KRGSERBCFTRI"
"90","JEB12809","PFOS-high","AUC","20260403",23.3153,135.8939,-35.8939,"Bacteroides stercoris","DSM 39944","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris"
"91","JEB12809","PFOS-high","AUC","20260317",23.7803,96.203,3.797,"Bacteroides stercoris","DSM 39944","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris"
"92","JEB12809","PFOS-high","AUC","20260411",31.1154,104.2118,-4.2118,"Bacteroides stercoris","DSM 39944","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris"
"93","JEB12809","PFOSNO-low","AUC","20260510",31.7062,91.6289,8.3711,"Bacteroides stercoris","DSM 39944","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris"
"94","JEB12809","Veh","AUC","20260527",55.7045,112.6009,-12.6009,"Bacteroides stercoris","DSM 39944","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris"
"95","JEB56739","PFOS-high","AUC","20260519",42.4369,105.3505,-5.3505,"Shigella sonnei","DSM 42397","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella sonnei"
"96","JEB56739","PFOS-low","AUC","20260527",56.6964,114.375,-14.375,"Shigella sonnei","DSM 42397","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella sonnei"
"97","JEB56739","PFOS-low","AUC","20260626",43.9205,93.4939,6.5061,"Shigella sonnei","DSM 42397","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella sonnei"
"98","JEB56739","PFOS-high","AUC","20260211",28.7821,97.8868,2.11320000000001,"Shigella sonnei","DSM 42397","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella sonnei"
"99","JEB56739","Veh","AUC","20260323",33.4434,124.0496,-24.0496,"Shigella sonnei","DSM 42397","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella sonnei"
"100","JEB53866","PFOSNO-low","AUC","20260413",46.9387,103.7473,-3.7473,"Dorea formicigenerans","DSM 98888","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea formicigenerans"
"101","JEB53866","Veh","AUC","20260312",48.4227,92.16,7.84,"Dorea formicigenerans","DSM 98888","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea formicigenerans"
"102","JEB53866","PFOS-high","AUC","20260418",21.9589,108.7546,-8.7546,"Dorea formicigenerans","DSM 98888","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea formicigenerans"
