"taxonomy_id","species_name"
2044912,"Staphylococcus debuckii"
102684,"Streptococcus infantarius"
1814128,"Streptococcus halotolerans"
59310,"Streptococcus macedonicus"
1156431,"Streptococcus ilei"
46124,"Granulicatella adiacens"
2831966,"Ruminococcus sp. FMBCY1"
2507159,"Clostridium sp. JN-9"
2212991,"Clostridium sp. AWRP"
36839,"Clostridium felsineum"
36745,"Clostridium saccharoperbutylacetonicum"
238834,"Clostridium estertheticum"
704125,"Clostridium gelidum"
2068654,"Clostridium fermenticellae"
360422,"Clostridium tagluense"
2528593,"Zhaonella formicivorans"
2853432,"Allobaculum sp. Allo2"
587,"Providencia rettgeri"
52133,"Acinetobacter venetianus"
45634,"Streptococcus cristatus"
248315,"Veillonella rodentium"
1679497,"Caulobacter flavus"
2972764,"Bacteroides sp. BFG-637"
113107,"Streptococcus australis"
1310,"Streptococcus sobrinus"
400065,"Streptococcus merionis"
182773,"Clostridium isatidis"
1216932,"Clostridium bornimense"
29341,"Clostridium argentinense"
1691,"Bifidobacterium indicum"
172042,"Rothia aeria"
43357,"Kutzneria albida"
47872,"Micromonospora purpureochromogenes"
659350,"Paracoccus stylophorae"
2681861,"Sporofaciens musculi"
1702238,"Clostridium sp. MF28"
84022,"Clostridium aceticum"
1494,"Clostridium cochlearium"
332101,"Clostridium drakei"
84023,"Clostridium autoethanogenum"
2734,"Symbiobacterium thermophilum"
911092,"Caldanaerobacter subterraneus"
2686210,"Streptococcus ruminicola"
1940319,"Streptococcus sp. DAT741"
2598457,"Streptococcus sp. KS 6"
1334,"Streptococcus dysgalactiae"
1338,"Streptococcus intermedius"
2021971,"Streptococcus respiraculi"
254785,"Streptococcus halichoeri"
1340,"Streptococcus porcinus"
1346,"Streptococcus iniae"
1345,"Streptococcus ferus"
2781599,"Streptococcus oriscaviae"
1007676,"Companilactobacillus ginsenosidimutans"
1426,"Parageobacillus thermoglucosidasius"
1712516,"Paenibacillus baekrokdamisoli"
417367,"Paenisporosarcina antarctica"
2830995,"Arthrobacter sp. StoSoilB20"
590652,"Mycobacterium paraseoulense"
2161816,"Tessaracoccus timonensis"
2865833,"Pseudonocardia sp. DSM 110487"
2811108,"Natronoglycomyces albus"
2735436,"Mariniplasma anaerobium"
2614441,"Flavobacterium sp. LPB0248"
1790137,"Wenyingzhuangia fucanilytica"
388950,"Pontibacter akesuensis"
2912629,"Enterobacter cloacae complex sp. ECL411"
2912631,"Enterobacter cloacae complex sp. ECL404"
2798729,"Enterobacter cloacae complex sp. AR_0002"
2850492,"Enterobacter cloacae complex sp. ECL78"
2912628,"Enterobacter cloacae complex sp. ECL414"
2850493,"Enterobacter cloacae complex sp. ECL112"
2894203,"Enterobacter sp. AN-K1"
1848517,"Enterobacter sp. LU1"
2923088,"Enterobacter sp. JH25"
2448483,"Serratia sp. 3ACOL1"
1763883,"Vibrio cidicii"
1335061,"Pseudorhizobium flavum"
674703,"Rhodoplanes sp. Z2-YC6860"
2740404,"Candidatus Sulfurimonas baltica"
143,"Borrelia anserina"
980254,"Roseimaritima ulvae"
1838286,"Lacunisphaera limnophila"
345370,"Solidesulfovibrio carbinoliphilus"
93466,"Fervidobacterium pennivorans"
1617967,"Granulicella sp. 5B5"
1494608,"Arthrobacter sp. PAMC 25486"
2759167,"Brachybacterium sp. Z12"
2496867,"Flaviflexus ciconiae"
129958,"Carboxydothermus hydrogenoformans"
2017483,"Virgibacillus phasianinus"
1902580,"Macrococcus epidermidis"
1299,"Deinococcus radiodurans"
1795355,"Echinicola strongylocentroti"
2705473,"Algoriphagus sp. NBT04N3"
2912630,"Enterobacter cloacae complex sp. ECL405"
1329812,"Enterobacter sp. MGH 3"
1868135,"Enterobacter sp. HK169"
2565914,"Enterobacter sp. 18A13"
2500132,"Enterobacter sp. N18-03635"
1977566,"Enterobacter sp. Crenshaw"
2697371,"Klebsiella sp. MPUS7"
2072413,"Stenotrophomonas sp. SAU14A_NAIMI4_5"
2929509,"Acinetobacter sp. NyZ410"
1349819,"Aureimonas sp. AU20"
2911495,"Sphingopyxis sp. BSN-002"
1873716,"Hyphomonas sp. CACIAM 19H1"
933262,"Desulfosarcina sp. BuS5"
938155,"Companilactobacillus futsaii"
1783515,"Streptomyces qaidamensis"
2663121,"Rhodococcus sp. WAY2"
324078,"Mesoplasma coleopterae"
1918946,"Vibrio palustris"
1318743,"Bartonella ancashensis"
2582913,"Luteithermobacter gelatinilyticus"
2527972,"Aeoliella mucimassa"
1660073,"Campylobacter sp. RM6137"
1748967,"Citrobacter cronae"
320324,"Formosa agariphila"
2420308,"Streptococcus sp. FDAARGOS_520"
88190,"Thermus antranikianii"
1934254,"Klebsiella sp. M5al"
2565555,"Sphingomonas sp. PAMC26645"
2849865,"Clostridium sp. CM027"
223919,"Clostridium diolis"
2499213,"Bacillus sp. BD59S"
1177211,"Candidatus Vallotia cooleyia"
2482763,"Sphingopyxis sp. YF1"
2843318,"Clostridium sp. CF011"
2800128,"Carnobacterium sp. CS13"
198467,"Anoxybacillus gonensis"
2759943,"Protaetiibacter sp. SSC-01"
2742673,"Enterobacter sp. RHBSTW-00975"
2072408,"Stenotrophomonas sp. YAU14A_MKIMI4_1"
2249302,"Francisella marina"
2857061,"Escherichia sp. TC-EC600-tetX4"
2897413,"Klebsiella sp. KPN54798"
42895,"Enterobacter sp."
2833771,"Salmonella sp. SJTUF14523"
195248,"Picosynechococcus sp. PCC 8807"
1827481,"Enterobacter sp. ODB01"
2979331,"Bartonella sp. HY406"
576,"Klebsiella sp."
2742672,"Enterobacter sp. RHBSTW-00974"
2949630,"Bradyrhizobium sp. CCGUVB23"
2778065,"Aeromonas sp. FDAARGOS 1416"
2742643,"Enterobacter sp. RHBSTW-00318"
211595,"Enterobacter sp. RFL1396"
2782643,"Bradyrhizobium sp. 172"
2860337,"Escherichia sp. TM-G17TGC"
2867247,"Thermosulfurimonas sp. F29"
1443109,"Clostridium sp. K25"
1839798,"Bacillus sp. FDAARGOS_235"
1688404,"Pseudonocardia sp. EC080610-09"
