"pwy_col","met_label","rho","p_val","FDR","Pathway","Category","met_base","Super_Class","Class","Met_SuperClass"
"BIFIDOSHUNT.PWY.bifidobacterium.shunt","METAB_C18_050",0.278986866791745,0.0812781581022407,0.741924232235141,"BIFIDOSHUNT-PWY bifidobacterium shunt","Carbohydrates","METAB_C18_050","Lipids and lipid-like molecules","Fatty Acyls","Lipids & Fatty Acids"
"BIFIDOSHUNT.PWY.bifidobacterium.shunt","METAB_HILIC_011",-0.165478424015009,0.307516380270144,0.877142283570543,"BIFIDOSHUNT-PWY bifidobacterium shunt","Carbohydrates","METAB_HILIC_011","Benzenoids","Phenols","Aromatic & Indole Compounds"
"BIFIDOSHUNT.PWY.bifidobacterium.shunt","METAB_HILIC_025",0.0911819887429644,0.57577504120622,0.877142283570543,"BIFIDOSHUNT-PWY bifidobacterium shunt","Carbohydrates","METAB_HILIC_025","Lipids and lipid-like molecules","Fatty Acyls","Lipids & Fatty Acids"
"BIFIDOSHUNT.PWY.bifidobacterium.shunt","METAB_HILIC_030",-0.249906191369606,0.11989386624501,0.791299517217069,"BIFIDOSHUNT-PWY bifidobacterium shunt","Carbohydrates","METAB_HILIC_030","Organic oxygen compounds","Organooxygen compounds","Sugars & Glycans"
"BIFIDOSHUNT.PWY.bifidobacterium.shunt","METAB_HILIC_034",0.0947467166979362,0.560876564664319,0.877142283570543,"BIFIDOSHUNT-PWY bifidobacterium shunt","Carbohydrates","METAB_HILIC_034","Organic nitrogen compounds","Organonitrogen compounds","Amino Acids & Derivatives"
"BIFIDOSHUNT.PWY.bifidobacterium.shunt","METAB_HILIC_015",0.143527204502814,0.376940165121584,0.877142283570543,"BIFIDOSHUNT-PWY bifidobacterium shunt","Carbohydrates","METAB_HILIC_015","Phenylpropanoids and polyketides","Acetophenones","Aromatic & Indole Compounds"
"BIFIDOSHUNT.PWY.bifidobacterium.shunt","METAB_HILIC_017",-0.0348968105065666,0.830723930988654,0.965153679858609,"BIFIDOSHUNT-PWY bifidobacterium shunt","Carbohydrates","METAB_HILIC_017","Organic oxygen compounds","Organooxygen compounds","Sugars & Glycans"
"BIFIDOSHUNT.PWY.bifidobacterium.shunt","METAB_HILIC_010",-0.0866791744840526,0.594846295829136,0.877142283570543,"BIFIDOSHUNT-PWY bifidobacterium shunt","Carbohydrates","METAB_HILIC_010","Benzenoids","Phenols","Aromatic & Indole Compounds"
"BIFIDOSHUNT.PWY.bifidobacterium.shunt","METAB_HILIC_037",0.122326454033771,0.452076048878619,0.877142283570543,"BIFIDOSHUNT-PWY bifidobacterium shunt","Carbohydrates","METAB_HILIC_037","Organic nitrogen compounds","Organonitrogen compounds","Amino Acids & Derivatives"
"BIFIDOSHUNT.PWY.bifidobacterium.shunt","METAB_HILIC_028",0.164352720450281,0.31086484738043,0.877142283570543,"BIFIDOSHUNT-PWY bifidobacterium shunt","Carbohydrates","METAB_HILIC_028","Nucleosides, nucleotides, and analogues","Purine nucleosides","Nucleosides & Bases"
"BIFIDOSHUNT.PWY.bifidobacterium.shunt","METAB_HILIC_036",-0.051219512195122,0.753616296401574,0.950843017534493,"BIFIDOSHUNT-PWY bifidobacterium shunt","Carbohydrates","METAB_HILIC_036","Organic acids and derivatives","Carboxylic acids and derivatives","Amino Acids & Derivatives"
"BIFIDOSHUNT.PWY.bifidobacterium.shunt","METAB_HILIC_039",-0.00150093808630394,0.992666152137929,0.992666152137929,"BIFIDOSHUNT-PWY bifidobacterium shunt","Carbohydrates","METAB_HILIC_039","Organoheterocyclic compounds","Isoquinolines and derivatives","Aromatic & Indole Compounds"
"UDPNAGSYN.PWY.UDP.N.acetylglucosamine.biosynthesis.I","METAB_C18_035",0.390056285178236,0.0128412680798096,0.741924232235141,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","Cell Wall","METAB_C18_035","Lipids and lipid-like molecules","Fatty Acyls","Lipids & Fatty Acids"
"UDPNAGSYN.PWY.UDP.N.acetylglucosamine.biosynthesis.I","METAB_C18_006",0.0769230769230769,0.637085753156832,0.914079558877193,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","Cell Wall","METAB_C18_006","Nucleosides, nucleotides, and analogues","Purine nucleosides","Nucleosides & Bases"
"UDPNAGSYN.PWY.UDP.N.acetylglucosamine.biosynthesis.I","METAB_C18_014",0.142213883677298,0.381367351042484,0.877142283570543,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","Cell Wall","METAB_C18_014","Benzenoids","Phenols","Aromatic & Indole Compounds"
"UDPNAGSYN.PWY.UDP.N.acetylglucosamine.biosynthesis.I","METAB_C18_019",0.0523452157598499,0.74837536215237,0.950843017534493,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","Cell Wall","METAB_C18_019","Organic oxygen compounds","Organooxygen compounds","Sugars & Glycans"
"UDPNAGSYN.PWY.UDP.N.acetylglucosamine.biosynthesis.I","METAB_C18_020",-0.271669793621013,0.0899302099678959,0.741924232235141,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","Cell Wall","METAB_C18_020","Lipids and lipid-like molecules","Fatty Acyls","Lipids & Fatty Acids"
"UDPNAGSYN.PWY.UDP.N.acetylglucosamine.biosynthesis.I","METAB_C18_021",-0.193058161350844,0.23265122457737,0.877142283570543,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","Cell Wall","METAB_C18_021","Organic nitrogen compounds","Organonitrogen compounds","Amino Acids & Derivatives"
"UDPNAGSYN.PWY.UDP.N.acetylglucosamine.biosynthesis.I","METAB_C18_033",-0.0116322701688555,0.943208023448539,0.967008194819519,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","Cell Wall","METAB_C18_033","Organic nitrogen compounds","Organonitrogen compounds","Amino Acids & Derivatives"
"UDPNAGSYN.PWY.UDP.N.acetylglucosamine.biosynthesis.I","METAB_C18_036",0.148030018761726,0.361993777904488,0.877142283570543,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","Cell Wall","METAB_C18_036","Organoheterocyclic compounds","Isoquinolines and derivatives","Aromatic & Indole Compounds"
"UDPNAGSYN.PWY.UDP.N.acetylglucosamine.biosynthesis.I","METAB_C18_003",0.0876172607879925,0.590850347853048,0.877142283570543,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","Cell Wall","METAB_C18_003","Lipids and lipid-like molecules","Fatty Acyls","Lipids & Fatty Acids"
"UDPNAGSYN.PWY.UDP.N.acetylglucosamine.biosynthesis.I","METAB_C18_044",0.167729831144465,0.300888474951518,0.877142283570543,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","Cell Wall","METAB_C18_044","Organic oxygen compounds","Organooxygen compounds","Sugars & Glycans"
"UDPNAGSYN.PWY.UDP.N.acetylglucosamine.biosynthesis.I","METAB_C18_050",-0.214258911819887,0.184310043057858,0.868890202987045,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","Cell Wall","METAB_C18_050","Lipids and lipid-like molecules","Fatty Acyls","Lipids & Fatty Acids"
"UDPNAGSYN.PWY.UDP.N.acetylglucosamine.biosynthesis.I","METAB_HILIC_011",0.150844277673546,0.352836057553133,0.877142283570543,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","Cell Wall","METAB_HILIC_011","Benzenoids","Phenols","Aromatic & Indole Compounds"
"UDPNAGSYN.PWY.UDP.N.acetylglucosamine.biosynthesis.I","METAB_HILIC_025",-0.130206378986867,0.42324625444893,0.877142283570543,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","Cell Wall","METAB_HILIC_025","Lipids and lipid-like molecules","Fatty Acyls","Lipids & Fatty Acids"
"UDPNAGSYN.PWY.UDP.N.acetylglucosamine.biosynthesis.I","METAB_HILIC_030",0.0682926829268293,0.675425085590162,0.948469269126611,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","Cell Wall","METAB_HILIC_030","Organic oxygen compounds","Organooxygen compounds","Sugars & Glycans"
"UDPNAGSYN.PWY.UDP.N.acetylglucosamine.biosynthesis.I","METAB_HILIC_034",-0.291181988742964,0.0683144786692717,0.741924232235141,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","Cell Wall","METAB_HILIC_034","Organic nitrogen compounds","Organonitrogen compounds","Amino Acids & Derivatives"
"UDPNAGSYN.PWY.UDP.N.acetylglucosamine.biosynthesis.I","METAB_HILIC_015",-0.14577861163227,0.369421864478542,0.877142283570543,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","Cell Wall","METAB_HILIC_015","Phenylpropanoids and polyketides","Acetophenones","Aromatic & Indole Compounds"
"UDPNAGSYN.PWY.UDP.N.acetylglucosamine.biosynthesis.I","METAB_HILIC_017",0.129268292682927,0.426623157128043,0.877142283570543,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","Cell Wall","METAB_HILIC_017","Organic oxygen compounds","Organooxygen compounds","Sugars & Glycans"
"UDPNAGSYN.PWY.UDP.N.acetylglucosamine.biosynthesis.I","METAB_HILIC_010",0.0298311444652908,0.855012563455738,0.965153679858609,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","Cell Wall","METAB_HILIC_010","Benzenoids","Phenols","Aromatic & Indole Compounds"
"UDPNAGSYN.PWY.UDP.N.acetylglucosamine.biosynthesis.I","METAB_HILIC_037",0.113883677298311,0.484111156451586,0.877142283570543,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","Cell Wall","METAB_HILIC_037","Organic nitrogen compounds","Organonitrogen compounds","Amino Acids & Derivatives"
"UDPNAGSYN.PWY.UDP.N.acetylglucosamine.biosynthesis.I","METAB_HILIC_028",-0.0879924953095685,0.589255294692767,0.877142283570543,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","Cell Wall","METAB_HILIC_028","Nucleosides, nucleotides, and analogues","Purine nucleosides","Nucleosides & Bases"
"UDPNAGSYN.PWY.UDP.N.acetylglucosamine.biosynthesis.I","METAB_HILIC_036",0.10844277673546,0.505364746320139,0.877142283570543,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","Cell Wall","METAB_HILIC_036","Organic acids and derivatives","Carboxylic acids and derivatives","Amino Acids & Derivatives"
"UDPNAGSYN.PWY.UDP.N.acetylglucosamine.biosynthesis.I","METAB_HILIC_039",-0.271857410881801,0.089699818849431,0.741924232235141,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I","Cell Wall","METAB_HILIC_039","Organoheterocyclic compounds","Isoquinolines and derivatives","Aromatic & Indole Compounds"
"PWY.7013.L.1.2.propanediol.degradation","METAB_C18_035",0.121763602251407,0.45417525189453,0.877142283570543,"PWY-7013 L-1,2-propanediol degradation","SCFAs","METAB_C18_035","Lipids and lipid-like molecules","Fatty Acyls","Lipids & Fatty Acids"
"PWY.7013.L.1.2.propanediol.degradation","METAB_C18_006",-0.00975609756097561,0.952356555504072,0.967008194819519,"PWY-7013 L-1,2-propanediol degradation","SCFAs","METAB_C18_006","Nucleosides, nucleotides, and analogues","Purine nucleosides","Nucleosides & Bases"
"PWY.7013.L.1.2.propanediol.degradation","METAB_C18_014",0.214821763602251,0.183132398824126,0.868890202987045,"PWY-7013 L-1,2-propanediol degradation","SCFAs","METAB_C18_014","Benzenoids","Phenols","Aromatic & Indole Compounds"
"PWY.7013.L.1.2.propanediol.degradation","METAB_C18_019",-0.0463414634146342,0.776450356234347,0.950843017534493,"PWY-7013 L-1,2-propanediol degradation","SCFAs","METAB_C18_019","Organic oxygen compounds","Organooxygen compounds","Sugars & Glycans"
"PWY.7013.L.1.2.propanediol.degradation","METAB_C18_020",-0.099812382739212,0.540018676079157,0.877142283570543,"PWY-7013 L-1,2-propanediol degradation","SCFAs","METAB_C18_020","Lipids and lipid-like molecules","Fatty Acyls","Lipids & Fatty Acids"
"PWY.7013.L.1.2.propanediol.degradation","METAB_C18_021",0.192682926829268,0.233577915723488,0.877142283570543,"PWY-7013 L-1,2-propanediol degradation","SCFAs","METAB_C18_021","Organic nitrogen compounds","Organonitrogen compounds","Amino Acids & Derivatives"
"PWY.7013.L.1.2.propanediol.degradation","METAB_C18_033",-0.0161350844277674,0.921283058046854,0.965153679858609,"PWY-7013 L-1,2-propanediol degradation","SCFAs","METAB_C18_033","Organic nitrogen compounds","Organonitrogen compounds","Amino Acids & Derivatives"
"PWY.7013.L.1.2.propanediol.degradation","METAB_C18_036",0.0956848030018762,0.556985914352352,0.877142283570543,"PWY-7013 L-1,2-propanediol degradation","SCFAs","METAB_C18_036","Organoheterocyclic compounds","Isoquinolines and derivatives","Aromatic & Indole Compounds"
"PWY.7013.L.1.2.propanediol.degradation","METAB_C18_003",-0.258348968105066,0.10748763205256,0.788242635052105,"PWY-7013 L-1,2-propanediol degradation","SCFAs","METAB_C18_003","Lipids and lipid-like molecules","Fatty Acyls","Lipids & Fatty Acids"
"PWY.7013.L.1.2.propanediol.degradation","METAB_C18_044",0.322514071294559,0.042389921167975,0.741924232235141,"PWY-7013 L-1,2-propanediol degradation","SCFAs","METAB_C18_044","Organic oxygen compounds","Organooxygen compounds","Sugars & Glycans"
"PWY.7013.L.1.2.propanediol.degradation","METAB_C18_050",-0.0429643527204503,0.792369181278744,0.950843017534493,"PWY-7013 L-1,2-propanediol degradation","SCFAs","METAB_C18_050","Lipids and lipid-like molecules","Fatty Acyls","Lipids & Fatty Acids"
"PWY.7013.L.1.2.propanediol.degradation","METAB_HILIC_011",-0.0210131332082552,0.897596149212633,0.965153679858609,"PWY-7013 L-1,2-propanediol degradation","SCFAs","METAB_HILIC_011","Benzenoids","Phenols","Aromatic & Indole Compounds"
"PWY.7013.L.1.2.propanediol.degradation","METAB_HILIC_025",0.0174484052532833,0.914898362267865,0.965153679858609,"PWY-7013 L-1,2-propanediol degradation","SCFAs","METAB_HILIC_025","Lipids and lipid-like molecules","Fatty Acyls","Lipids & Fatty Acids"
"PWY.7013.L.1.2.propanediol.degradation","METAB_HILIC_030",-0.0446529080675422,0.784398944901158,0.950843017534493,"PWY-7013 L-1,2-propanediol degradation","SCFAs","METAB_HILIC_030","Organic oxygen compounds","Organooxygen compounds","Sugars & Glycans"
"PWY.7013.L.1.2.propanediol.degradation","METAB_HILIC_034",-0.0651031894934334,0.689807682670684,0.948485563672191,"PWY-7013 L-1,2-propanediol degradation","SCFAs","METAB_HILIC_034","Organic nitrogen compounds","Organonitrogen compounds","Amino Acids & Derivatives"
"PWY.7013.L.1.2.propanediol.degradation","METAB_HILIC_015",0.0221388367729831,0.89214160789653,0.965153679858609,"PWY-7013 L-1,2-propanediol degradation","SCFAs","METAB_HILIC_015","Phenylpropanoids and polyketides","Acetophenones","Aromatic & Indole Compounds"
"PWY.7013.L.1.2.propanediol.degradation","METAB_HILIC_017",0.290243902439024,0.0692497760354451,0.741924232235141,"PWY-7013 L-1,2-propanediol degradation","SCFAs","METAB_HILIC_017","Organic oxygen compounds","Organooxygen compounds","Sugars & Glycans"
"PWY.7013.L.1.2.propanediol.degradation","METAB_HILIC_010",0.106754221388368,0.512055220042154,0.877142283570543,"PWY-7013 L-1,2-propanediol degradation","SCFAs","METAB_HILIC_010","Benzenoids","Phenols","Aromatic & Indole Compounds"
"PWY.7013.L.1.2.propanediol.degradation","METAB_HILIC_037",-0.239774859287054,0.136166868920116,0.817001213520697,"PWY-7013 L-1,2-propanediol degradation","SCFAs","METAB_HILIC_037","Organic nitrogen compounds","Organonitrogen compounds","Amino Acids & Derivatives"
"PWY.7013.L.1.2.propanediol.degradation","METAB_HILIC_028",-0.0328330206378987,0.840601896745508,0.965153679858609,"PWY-7013 L-1,2-propanediol degradation","SCFAs","METAB_HILIC_028","Nucleosides, nucleotides, and analogues","Purine nucleosides","Nucleosides & Bases"
"PWY.7013.L.1.2.propanediol.degradation","METAB_HILIC_036",0.280487804878049,0.0795863458921432,0.741924232235141,"PWY-7013 L-1,2-propanediol degradation","SCFAs","METAB_HILIC_036","Organic acids and derivatives","Carboxylic acids and derivatives","Amino Acids & Derivatives"
"PWY.7013.L.1.2.propanediol.degradation","METAB_HILIC_039",0.130769230769231,0.421227344192798,0.877142283570543,"PWY-7013 L-1,2-propanediol degradation","SCFAs","METAB_HILIC_039","Organoheterocyclic compounds","Isoquinolines and derivatives","Aromatic & Indole Compounds"
