"unnamed_column_1","StrainID","Drug","metric","date","median_value","perc","perc_inhibition","SILVA_Species","Strain_Info","GTDB_08-rs214_taxonomy","Species_SILVA_clean","Species_GTDB_clean","SILVA_in_FVA","GTDB_in_FVA","Species_merge_source","Species"
67,"JEB56307","PFOS-low","AUC",20260718,42.2149,110.3422,-10.3422,"Parabacteroides johnsonii","DSM 81590","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides johnsonii","Parabacteroides johnsonii","Parabacteroides johnsonii",TRUE,TRUE,"SILVA_and_GTDB_agree","Parabacteroides johnsonii"
68,"JEB56307","PFOS-high","AUC",20260305,49.7836,120.5651,-20.5651,"Parabacteroides johnsonii","DSM 81590","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides johnsonii","Parabacteroides johnsonii","Parabacteroides johnsonii",TRUE,TRUE,"SILVA_and_GTDB_agree","Parabacteroides johnsonii"
90,"JEB12809","PFOS-high","AUC",20260403,23.3153,135.8939,-35.8939,"Bacteroides stercoris","DSM 39944","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris","Bacteroides stercoris","Bacteroides stercoris",TRUE,TRUE,"SILVA_and_GTDB_agree","Bacteroides stercoris"
91,"JEB12809","PFOS-high","AUC",20260317,23.7803,96.203,3.797,"Bacteroides stercoris","DSM 39944","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris","Bacteroides stercoris","Bacteroides stercoris",TRUE,TRUE,"SILVA_and_GTDB_agree","Bacteroides stercoris"
92,"JEB12809","PFOS-high","AUC",20260411,31.1154,104.2118,-4.2118,"Bacteroides stercoris","DSM 39944","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris","Bacteroides stercoris","Bacteroides stercoris",TRUE,TRUE,"SILVA_and_GTDB_agree","Bacteroides stercoris"
94,"JEB12809","Veh","AUC",20260527,55.7045,112.6009,-12.6009,"Bacteroides stercoris","DSM 39944","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris","Bacteroides stercoris","Bacteroides stercoris",TRUE,TRUE,"SILVA_and_GTDB_agree","Bacteroides stercoris"
101,"JEB53866","Veh","AUC",20260312,48.4227,92.16,7.84,"Dorea formicigenerans","DSM 98888","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea formicigenerans","Dorea formicigenerans","Dorea formicigenerans",TRUE,TRUE,"SILVA_and_GTDB_agree","Dorea formicigenerans"
102,"JEB53866","PFOS-high","AUC",20260418,21.9589,108.7546,-8.7546,"Dorea formicigenerans","DSM 98888","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea formicigenerans","Dorea formicigenerans","Dorea formicigenerans",TRUE,TRUE,"SILVA_and_GTDB_agree","Dorea formicigenerans"
106,"JEB53866","PFOS-low","AUC",20260305,41.0493,106.0933,-6.0933,"Dorea formicigenerans","DSM 98888","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea formicigenerans","Dorea formicigenerans","Dorea formicigenerans",TRUE,TRUE,"SILVA_and_GTDB_agree","Dorea formicigenerans"
116,"JEB60061","Veh","AUC",20260521,37.0939,105.6659,-5.66589999999999,"Blautia wexlerae","DSM 61384","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia wexlerae","Blautia wexlerae","Blautia wexlerae",TRUE,TRUE,"SILVA_and_GTDB_agree","Blautia wexlerae"
117,"JEB60061","PFOS-high","AUC",20260201,27.7481,89.7818,10.2182,"Blautia wexlerae","DSM 61384","d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia wexlerae","Blautia wexlerae","Blautia wexlerae",TRUE,TRUE,"SILVA_and_GTDB_agree","Blautia wexlerae"
136,"JEB46290","PFOS-high","AUC",20260325,42.9538,97.8639,2.1361,"Bacteroides fragilis","DSM 12890","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis","Bacteroides fragilis","Bacteroides fragilis",TRUE,TRUE,"SILVA_and_GTDB_agree","Bacteroides fragilis"
137,"JEB46290","Veh","AUC",20260501,33.944,104.5422,-4.54219999999999,"Bacteroides fragilis","DSM 12890","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis","Bacteroides fragilis","Bacteroides fragilis",TRUE,TRUE,"SILVA_and_GTDB_agree","Bacteroides fragilis"
139,"JEB46290","PFOS-low","AUC",20260518,45.0798,97.3369,2.6631,"Bacteroides fragilis","DSM 12890","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis","Bacteroides fragilis","Bacteroides fragilis",TRUE,TRUE,"SILVA_and_GTDB_agree","Bacteroides fragilis"
140,"JEB57622","PFOS-high","AUC",20260405,50.3883,98.6712,1.3288,"Clostridium saccharogumia","DSM 72116","NA;s__Clostridium saccharogumia","Clostridium saccharogumia","Clostridium saccharogumia",TRUE,TRUE,"SILVA_and_GTDB_agree","Clostridium saccharogumia"
141,"JEB57622","Veh","AUC",20260505,49.7935,136.1799,-36.1799,"Clostridium saccharogumia","DSM 72116","NA;s__Clostridium saccharogumia","Clostridium saccharogumia","Clostridium saccharogumia",TRUE,TRUE,"SILVA_and_GTDB_agree","Clostridium saccharogumia"
142,"JEB57622","PFOS-high","AUC",20260216,33.8116,99.0714,0.928600000000003,"Clostridium saccharogumia","DSM 72116","NA;s__Clostridium saccharogumia","Clostridium saccharogumia","Clostridium saccharogumia",TRUE,TRUE,"SILVA_and_GTDB_agree","Clostridium saccharogumia"
143,"JEB57622","PFOS-high","AUC",20260715,40.1635,106.8719,-6.8719,"Clostridium saccharogumia","DSM 72116","NA;s__Clostridium saccharogumia","Clostridium saccharogumia","Clostridium saccharogumia",TRUE,TRUE,"SILVA_and_GTDB_agree","Clostridium saccharogumia"
151,"JEB84609","PFOS-high","AUC",20260509,36.8991,101.5536,-1.5536,"Clostridium spiroforme","DSM 32865","NA;s__Clostridium spiroforme","Clostridium spiroforme","Clostridium spiroforme",TRUE,TRUE,"SILVA_and_GTDB_agree","Clostridium spiroforme"
152,"JEB84609","PFOS-high","AUC",20260712,57.9837,67.5631,32.4369,"Clostridium spiroforme","DSM 32865","NA;s__Clostridium spiroforme","Clostridium spiroforme","Clostridium spiroforme",TRUE,TRUE,"SILVA_and_GTDB_agree","Clostridium spiroforme"
153,"JEB84609","PFOS-high","AUC",20260602,44.7617,120.3514,-20.3514,"Clostridium spiroforme","DSM 32865","NA;s__Clostridium spiroforme","Clostridium spiroforme","Clostridium spiroforme",TRUE,TRUE,"SILVA_and_GTDB_agree","Clostridium spiroforme"
155,"JEB84609","PFOS-low","AUC",20260118,37.0554,115.7073,-15.7073,"Clostridium spiroforme","DSM 32865","NA;s__Clostridium spiroforme","Clostridium spiroforme","Clostridium spiroforme",TRUE,TRUE,"SILVA_and_GTDB_agree","Clostridium spiroforme"
156,"JEB84609","Veh","AUC",20260117,25.3048,77.7917,22.2083,"Clostridium spiroforme","DSM 32865","NA;s__Clostridium spiroforme","Clostridium spiroforme","Clostridium spiroforme",TRUE,TRUE,"SILVA_and_GTDB_agree","Clostridium spiroforme"
196,"JEB80431","PFOS-high","AUC",20260612,40.7732,108.0816,-8.0816,"Parabacteroides merdae","DSM 60514","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae","Parabacteroides merdae","Parabacteroides merdae",TRUE,TRUE,"SILVA_and_GTDB_agree","Parabacteroides merdae"
197,"JEB80431","Veh","AUC",20260413,56.1991,133.108,-33.108,"Parabacteroides merdae","DSM 60514","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae","Parabacteroides merdae","Parabacteroides merdae",TRUE,TRUE,"SILVA_and_GTDB_agree","Parabacteroides merdae"
198,"JEB80431","PFOS-low","AUC",20260608,31.4579,109.8937,-9.8937,"Parabacteroides merdae","DSM 60514","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae","Parabacteroides merdae","Parabacteroides merdae",TRUE,TRUE,"SILVA_and_GTDB_agree","Parabacteroides merdae"
199,"JEB80431","PFOS-low","AUC",20260627,28.908,101.8614,-1.8614,"Parabacteroides merdae","DSM 60514","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae","Parabacteroides merdae","Parabacteroides merdae",TRUE,TRUE,"SILVA_and_GTDB_agree","Parabacteroides merdae"
203,"JEB80431","PFOS-high","AUC",20260325,38.5703,104.1917,-4.1917,"Parabacteroides merdae","DSM 60514","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae","Parabacteroides merdae","Parabacteroides merdae",TRUE,TRUE,"SILVA_and_GTDB_agree","Parabacteroides merdae"
204,"JEB79241","PFOS-low","AUC",20260217,57.7005,117.4254,-17.4254,"Bacteroides salyersiae","DSM 55371","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides salyersiae","Bacteroides salyersiae","Bacteroides salyersiae",TRUE,TRUE,"SILVA_and_GTDB_agree","Bacteroides salyersiae"
205,"JEB79241","Veh","AUC",20260416,52.3391,121.215,-21.215,"Bacteroides salyersiae","DSM 55371","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides salyersiae","Bacteroides salyersiae","Bacteroides salyersiae",TRUE,TRUE,"SILVA_and_GTDB_agree","Bacteroides salyersiae"
218,"JEB12680","PFOS-low","AUC",20260201,25.392,107.5395,-7.5395,"Clostridioides difficile","DSM 37342","d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile","Clostridioides difficile","Clostridioides difficile",TRUE,TRUE,"SILVA_and_GTDB_agree","Clostridioides difficile"
220,"JEB12680","PFOS-low","AUC",20260720,26.7718,116.0993,-16.0993,"Clostridioides difficile","DSM 37342","d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile","Clostridioides difficile","Clostridioides difficile",TRUE,TRUE,"SILVA_and_GTDB_agree","Clostridioides difficile"
223,"JEB12680","PFOS-low","AUC",20260411,21.709,112.01,-12.01,"Clostridioides difficile","DSM 37342","d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile","Clostridioides difficile","Clostridioides difficile",TRUE,TRUE,"SILVA_and_GTDB_agree","Clostridioides difficile"
228,"JEB65576","Veh","AUC",20260320,25.2801,95.942,4.05800000000001,"Lacticaseibacillus casei","DSM 73503","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus casei","Lacticaseibacillus casei","Lacticaseibacillus casei",TRUE,TRUE,"SILVA_and_GTDB_agree","Lacticaseibacillus casei"
230,"JEB65576","PFOS-high","AUC",20260317,58.0654,83.4724,16.5276,"Lacticaseibacillus casei","DSM 73503","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus casei","Lacticaseibacillus casei","Lacticaseibacillus casei",TRUE,TRUE,"SILVA_and_GTDB_agree","Lacticaseibacillus casei"
231,"JEB65576","PFOS-high","AUC",20260430,37.9077,102.7235,-2.7235,"Lacticaseibacillus casei","DSM 73503","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus casei","Lacticaseibacillus casei","Lacticaseibacillus casei",TRUE,TRUE,"SILVA_and_GTDB_agree","Lacticaseibacillus casei"
232,"JEB65576","PFOS-high","AUC",20260216,27.2206,110.4825,-10.4825,"Lacticaseibacillus casei","DSM 73503","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus casei","Lacticaseibacillus casei","Lacticaseibacillus casei",TRUE,TRUE,"SILVA_and_GTDB_agree","Lacticaseibacillus casei"
234,"JEB57138","PFOS-high","AUC",20260617,51.0152,104.113,-4.113,"Bacteroides cellulosilyticus","DSM 19514","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus","Bacteroides cellulosilyticus","Bacteroides cellulosilyticus",TRUE,TRUE,"SILVA_and_GTDB_agree","Bacteroides cellulosilyticus"
239,"JEB57138","PFOS-low","AUC",20260510,47.4073,104.9338,-4.9338,"Bacteroides cellulosilyticus","DSM 19514","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus","Bacteroides cellulosilyticus","Bacteroides cellulosilyticus",TRUE,TRUE,"SILVA_and_GTDB_agree","Bacteroides cellulosilyticus"
240,"JEB19070","Veh","AUC",20260314,30.8903,95.8001,4.1999,"Alistipes shahii","DSM 1830","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii","Alistipes shahii","Alistipes shahii",TRUE,TRUE,"SILVA_and_GTDB_agree","Alistipes shahii"
242,"JEB19070","Veh","AUC",20260429,41.9662,140.667,-40.667,"Alistipes shahii","DSM 1830","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii","Alistipes shahii","Alistipes shahii",TRUE,TRUE,"SILVA_and_GTDB_agree","Alistipes shahii"
244,"JEB19070","PFOS-high","AUC",20260409,45.5037,130.5122,-30.5122,"Alistipes shahii","DSM 1830","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii","Alistipes shahii","Alistipes shahii",TRUE,TRUE,"SILVA_and_GTDB_agree","Alistipes shahii"
245,"JEB19070","PFOS-low","AUC",20260308,57.5381,105.5347,-5.5347,"Alistipes shahii","DSM 1830","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii","Alistipes shahii","Alistipes shahii",TRUE,TRUE,"SILVA_and_GTDB_agree","Alistipes shahii"
260,"JEB37926","PFOS-low","AUC",20260718,56.0741,84.2261,15.7739,"Providencia rettgeri","DSM 33820","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Providencia;s__Providencia rettgeri","Providencia rettgeri","Providencia rettgeri",TRUE,TRUE,"SILVA_and_GTDB_agree","Providencia rettgeri"
261,"JEB37926","PFOS-high","AUC",20260428,29.5764,82.1798,17.8202,"Providencia rettgeri","DSM 33820","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Providencia;s__Providencia rettgeri","Providencia rettgeri","Providencia rettgeri",TRUE,TRUE,"SILVA_and_GTDB_agree","Providencia rettgeri"
262,"JEB37926","PFOS-low","AUC",20260528,56.5199,98.8451,1.1549,"Providencia rettgeri","DSM 33820","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Providencia;s__Providencia rettgeri","Providencia rettgeri","Providencia rettgeri",TRUE,TRUE,"SILVA_and_GTDB_agree","Providencia rettgeri"
264,"JEB37926","PFOS-low","AUC",20260706,34.8992,90.5728,9.4272,"Providencia rettgeri","DSM 33820","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Providencia;s__Providencia rettgeri","Providencia rettgeri","Providencia rettgeri",TRUE,TRUE,"SILVA_and_GTDB_agree","Providencia rettgeri"
266,"JEB37926","PFOS-high","AUC",20260525,47.5894,98.7273,1.2727,"Providencia rettgeri","DSM 33820","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Providencia;s__Providencia rettgeri","Providencia rettgeri","Providencia rettgeri",TRUE,TRUE,"SILVA_and_GTDB_agree","Providencia rettgeri"
267,"JEB37926","Veh","AUC",20260306,36.6582,111.1607,-11.1607,"Providencia rettgeri","DSM 33820","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Providencia;s__Providencia rettgeri","Providencia rettgeri","Providencia rettgeri",TRUE,TRUE,"SILVA_and_GTDB_agree","Providencia rettgeri"
269,"JEB96943","PFOS-high","AUC",20260622,53.1766,87.2441,12.7559,"Clostridium butyricum","DSM 68454","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium butyricum","Clostridium butyricum","Clostridium butyricum",TRUE,TRUE,"SILVA_and_GTDB_agree","Clostridium butyricum"
270,"JEB96943","Veh","AUC",20260718,24.9591,106.5149,-6.5149,"Clostridium butyricum","DSM 68454","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium butyricum","Clostridium butyricum","Clostridium butyricum",TRUE,TRUE,"SILVA_and_GTDB_agree","Clostridium butyricum"
273,"JEB96943","Veh","AUC",20260326,40.4256,109.9425,-9.9425,"Clostridium butyricum","DSM 68454","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium butyricum","Clostridium butyricum","Clostridium butyricum",TRUE,TRUE,"SILVA_and_GTDB_agree","Clostridium butyricum"
274,"JEB96943","Veh","AUC",20260330,33.8704,124.0351,-24.0351,"Clostridium butyricum","DSM 68454","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium butyricum","Clostridium butyricum","Clostridium butyricum",TRUE,TRUE,"SILVA_and_GTDB_agree","Clostridium butyricum"
275,"JEB96943","PFOS-high","AUC",20260521,24.767,116.8241,-16.8241,"Clostridium butyricum","DSM 68454","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium butyricum","Clostridium butyricum","Clostridium butyricum",TRUE,TRUE,"SILVA_and_GTDB_agree","Clostridium butyricum"
279,"JEB94230","Veh","AUC",20260628,39.1885,101.8711,-1.8711,"Clostridium perfringens","DSM 83213","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens","Clostridium perfringens","Clostridium perfringens",TRUE,TRUE,"SILVA_and_GTDB_agree","Clostridium perfringens"
280,"JEB94230","Veh","AUC",20260213,22.6902,111.2252,-11.2252,"Clostridium perfringens","DSM 83213","d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens","Clostridium perfringens","Clostridium perfringens",TRUE,TRUE,"SILVA_and_GTDB_agree","Clostridium perfringens"
