"","X1936987","X95818","X203691","X200783","X200918","X142182","X40117","X1134404"
"MM-0012-06",0.275674059873612,0.207793336067288,0.147039835040408,0.127646871845041,0.102346260328503,0.0501104287203609,0.0292220251359154,0.0215854797349711
"MM-0013-01",0.275678338618146,0.207877410487065,0.146480858997564,0.127515956505763,0.102655108123188,0.0503340999714212,0.0294650317769219,0.0215821777058015
"MM-0013-06",0.275414204935212,0.207960682857762,0.14700044034081,0.127906024681052,0.102275892988197,0.0499896654707902,0.029576224392085,0.0213964694851807
"MM-0014-01",0.275665184417104,0.20752615539027,0.146544131820508,0.128118207740932,0.102421035314762,0.0502760108210865,0.0294630334935226,0.0216072769812625
"MM-0014-06",0.276450733210709,0.20717327178292,0.146619700398875,0.128108031281662,0.101648778647082,0.0502646008379788,0.0292793897266553,0.0217299334321309
"MM-0015-01",0.275512351846789,0.207632752500283,0.146926096289694,0.127798593544628,0.102355970004559,0.0501335292753475,0.0293843897762231,0.0215471700330376
"MM-0015-06",0.276151293562966,0.207400845191202,0.146630162948726,0.127911163163945,0.102271472210961,0.0501178696376822,0.0293477880048249,0.0216352931558866
"MM-0016-01",0.27566326908364,0.207661220661912,0.146539277869641,0.128196031491399,0.102202053357684,0.0502042251783114,0.0294324884622029,0.0215577877045337
"MM-0016-06",0.275799787022754,0.207604688372628,0.146580063103039,0.127793889743871,0.102308450671345,0.0502321020997833,0.0295909077032756,0.0216155742753656
"MM-0017-01",0.27524439009852,0.20793223479749,0.146916547371638,0.127601190536999,0.102205673661212,0.0503424281820237,0.0294773833947538,0.0218297688437658
"MM-0017-06",0.275143745430366,0.207972373636913,0.146648714449076,0.128172023483544,0.102365947159189,0.0499398912840943,0.0293705089898236,0.0217313580218888
"MM-0018-01",0.275834252369626,0.207279029917639,0.14660863577684,0.127724681953656,0.102434523858999,0.0503121515335912,0.0294543658562086,0.0217213371135946
"MM-0018-06",0.275491734786707,0.207361947525502,0.146948198842841,0.127885844141457,0.10225068971155,0.050506776861274,0.0295092350718993,0.0216581163986823
"MM-0019-01",0.275517929097643,0.20779088630853,0.146837768849247,0.127761464795939,0.102337440328405,0.0502061250239849,0.0293889512335522,0.0215689922841211
"MM-0019-06",0.275324789325843,0.207784180210005,0.147057563369449,0.127451595104334,0.102257432116105,0.0506088232343499,0.029464599217496,0.0216254514446228
"MM-0020-01",0.275894896768178,0.208485752146542,0.146477105842957,0.127778224559009,0.101501692093349,0.050025973687242,0.0294730710461853,0.0216157589641824
"MM-0020-06",0.275591209073374,0.207630058863627,0.14674996764895,0.127579805200826,0.102761200341138,0.0501105030359041,0.0295112902617735,0.0215493656646842
"MM-0021-01",0.275540082862748,0.208010795091962,0.146279973843874,0.128126939496888,0.10245401887828,0.0500883688398953,0.0295193067751195,0.0214291154099675
"MM-0021-06",0.275964521151768,0.207548989091864,0.146572239227423,0.127616726371234,0.102535308551813,0.0503490801610355,0.0292759524225903,0.0215911661436788
"MM-0022-01",0.276316713470436,0.207120254195507,0.146794430460023,0.12799183956551,0.102078550697568,0.0501100775429505,0.0294099974009972,0.0215970618960848
"MM-0022-06",0.275995130883007,0.207344251465017,0.146879591983764,0.127577457972941,0.102393846588831,0.0503356183656242,0.0294648185227626,0.0216051774128432
"MM-0023-01",0.275958373043718,0.207266913132879,0.146937849320472,0.127608055884294,0.102569043704115,0.0502665395934355,0.029230334195616,0.0217085763957982
"MM-0023-06",0.275034390983343,0.207646464371383,0.147061659408188,0.128256839003092,0.102338292455476,0.0500617896854283,0.0295935423706483,0.0216547270397404
"MM-0024-01",0.275460473917088,0.207579197610433,0.146612348758516,0.127777968812586,0.102512892526192,0.0502931661479297,0.0293835286070496,0.0217632533496405
"MM-0024-06",0.275104749532695,0.207752189198692,0.147274597637118,0.127757307018277,0.102405421900252,0.0501513632498528,0.0294764928180087,0.0215209916989527
"MM-0025-01",0.275056909267949,0.207575617095748,0.146847263103751,0.128016518210773,0.102442068346521,0.050606448703946,0.029483559694427,0.0215033741607879
"MM-0025-06",0.27569189535629,0.20749441628309,0.146619277904018,0.12766610343957,0.102251743090757,0.050397560644021,0.0294956204237798,0.0216084989026782
"MM-0026-01",0.276142955750683,0.207403998741834,0.146876666191763,0.127481256760965,0.102347931820666,0.0499379007493349,0.0294631049151744,0.0216990212905515
"MM-0026-06",0.275630378610914,0.207414881914092,0.14721822622194,0.127524121956835,0.10215695458204,0.0504912948418469,0.0293153359165753,0.0216576108881879
"MM-0027-01",0.276043922860693,0.207846654166364,0.147143243354339,0.127228790326916,0.102305388937548,0.0500977837784854,0.029414973170724,0.0215436556746211
"MM-0027-06",0.275596641580024,0.207746552399182,0.14682777221908,0.127704354635229,0.102418323400183,0.0500891808413451,0.0293652934267194,0.0217544699177796
"MM-0028-01",0.275858498585056,0.206951241268098,0.147032465011176,0.127517778625073,0.102665132207208,0.0500963701172182,0.0296022415234524,0.0215736138269256
"MM-0028-06",0.275991937946619,0.207612044219141,0.146800708483479,0.127433213216881,0.102375374091492,0.0504415806510719,0.0292789348317352,0.0215662370976608
"MM-0029-01",0.275110532647496,0.207573142017074,0.147136769305037,0.127700647268675,0.102654972847117,0.0502867445111332,0.0292858151502248,0.0216396597378742
"MM-0029-06",0.275625678103249,0.207449670376634,0.146825173058097,0.128002998387604,0.10231276930689,0.0503455226212488,0.0293724966622163,0.0216458824532
"MM-0030-01",0.276033870637468,0.20752903547707,0.146699819168174,0.127418661729121,0.102300847054345,0.050271680351627,0.0295430751793177,0.0217030637583602
"MM-0030-06",0.275480331241747,0.207057653397207,0.146651158902548,0.128007721467591,0.102496255275881,0.050370804458866,0.029539816909434,0.0217914794304607
"MM-0031-01",0.275866717864595,0.20758736352317,0.146635124413788,0.12775600610987,0.102451853713214,0.0500446805446932,0.0295258638944494,0.0216746522258393
"MM-0031-06",0.275334112858499,0.207584847466062,0.147107943434243,0.127492146894991,0.102295907024853,0.0502551917858121,0.0294279850574542,0.0218233244434183
"MM-0032-01",0.275372176150886,0.208015875406359,0.146661184337256,0.12772823523396,0.102191273990153,0.050383261056712,0.0292753588672592,0.0216871892111119
"MM-0032-06",0.275179633035371,0.208205915059236,0.146956930841281,0.127785381292502,0.102366772165433,0.0500796586972328,0.029409563320645,0.0215025020315641
"MM-0033-01",0.275425823284374,0.207900133845162,0.146844196521587,0.127602307621367,0.102467425561742,0.0501492400395631,0.0293859176152042,0.0217802138497294
"MM-0033-06",0.275869732368426,0.207892064254349,0.146541415036399,0.127632880669504,0.10231190268792,0.0502029524536939,0.0293672547172806,0.021529418161608
"MM-0034-01",0.275642443973828,0.207387710592028,0.146360142659966,0.127736774451855,0.102504583241142,0.0502622193423312,0.0295256872227666,0.0216169622066989
"MM-0034-06",0.275686762700812,0.207654277076294,0.146407413994111,0.127799711502361,0.102623747702887,0.0499116722982987,0.0293603651668741,0.0215614440690023
"MM-0035-01",0.275944752799298,0.207887840548881,0.146707237846101,0.12753389779228,0.102199740800168,0.0501722568405682,0.029539338461917,0.0215831404406929
"MM-0035-06",0.275815732643402,0.207282092377863,0.147125821855749,0.127586641937461,0.102359078863004,0.0503570824717514,0.0293320783742656,0.0216036467808191
"MM-0036-01",0.275895864675449,0.207273327707041,0.147017942978755,0.127849044141929,0.102039408505486,0.0501093457600998,0.0294580413165523,0.0217796205922284
"MM-0036-06",0.275625849321532,0.20739760819756,0.147031506473914,0.127913826177608,0.102246658511297,0.050197904277049,0.0294977666904924,0.0216130258024234
"MM-0037-01",0.276000041712691,0.207597645799893,0.146481333971858,0.127714633854822,0.102403854252649,0.0504314455934152,0.0293151979387513,0.0216657321419547
"MM-0037-06",0.275930902933398,0.207325616790593,0.146764727027428,0.127503453170722,0.1025274303362,0.0501860811598371,0.029315622098457,0.0217783026155378
"MM-0038-01",0.275083069533057,0.20822970606755,0.147109026905232,0.12739277153698,0.10246616120521,0.0499327680675635,0.0294967524532707,0.0216828972122948
"MM-0038-06",0.276306352969301,0.207328749726079,0.146426205749348,0.127709947805646,0.102710943881108,0.0501617377532522,0.0294022800167341,0.021528303484272
"MM-0039-01",0.27531722402589,0.20797388142315,0.146690837625104,0.127829489387843,0.10228165239685,0.0502801615815633,0.0294127082893528,0.0216794010439668
"MM-0039-06",0.275625355408417,0.207648797657409,0.147232226311008,0.127435568947599,0.102190541397319,0.0502743589575994,0.0293408031740014,0.0216345682482205
"MM-0040-01",0.275544550791628,0.207414850898582,0.146776238476045,0.127611111570175,0.102411727067324,0.0503897873172092,0.0295864004302588,0.0217184413105936
"MM-0040-06",0.275346148450476,0.207904205233832,0.146639416239907,0.128050693319405,0.102382967201736,0.0504667324068897,0.0293246112335617,0.0215413069325397
