"predictor","betas","ci_lo","ci_hi","p_val","n","name","FDR","Category"
"PFDA",-0.336803927390745,-1.0715220199016,0.397914165120114,0.3566443784054,38,"ANAGLYCOLYSIS-PWY glycolysis III",0.668708209510124,"Carbohydrates"
"PFDoA",-0.396247749034319,-1.11294189403208,0.32044639596344,0.267788370647854,38,"ANAGLYCOLYSIS-PWY glycolysis III",0.888383853353622,"Carbohydrates"
"PFHpA",-0.589744960052916,-1.24600682043482,0.066516900328988,0.0763974155537284,38,"ANAGLYCOLYSIS-PWY glycolysis III",0.376514811136198,"Carbohydrates"
"N.MeFOSAA",-0.249491324756688,-1.08103159421674,0.582048944703369,0.544656733070307,38,"PWY-6572 chondroitin sulfate degradation I",0.907761221783845,"Cell Wall"
"PFBA",-0.19272921553473,-1.0528348306552,0.667376399585745,0.650519292049117,38,"PWY-6572 chondroitin sulfate degradation I",0.792425304774099,"Cell Wall"
"PFDA",-0.0182602638159355,-0.838178652608503,0.801658124976632,0.964023657689268,38,"PWY-6572 chondroitin sulfate degradation I",0.964023657689268,"Cell Wall"
"PFDoA",-0.460221346314704,-1.24669459327418,0.326251900644772,0.241418647598077,38,"PWY-6572 chondroitin sulfate degradation I",0.888383853353622,"Cell Wall"
"PFHpA",-0.346440379857444,-1.09677039393963,0.403889634224741,0.353237465641429,38,"PWY-6572 chondroitin sulfate degradation I",0.618089492067122,"Cell Wall"
"N.MeFOSAA",-0.255173960223999,-1.3589335082121,0.848585587764104,0.64023960513303,38,"P461-PWY hexitol fermentation to lactate, formate, ethanol and acetate",0.960359407699544,"SCFAs"
"PFBA",-0.518380993352024,-1.64469009537785,0.607928108673803,0.354749966351103,38,"P461-PWY hexitol fermentation to lactate, formate, ethanol and acetate",0.792425304774099,"SCFAs"
"PFDA",-0.587671241514269,-1.65096183148859,0.475619348460053,0.26795078506449,38,"P461-PWY hexitol fermentation to lactate, formate, ethanol and acetate",0.668708209510124,"SCFAs"
"PFDoA",-0.393930432125297,-1.44957386601979,0.6617130017692,0.451946613223774,38,"P461-PWY hexitol fermentation to lactate, formate, ethanol and acetate",0.937447794410962,"SCFAs"
"PFHpA",-0.710768925867653,-1.68338284649368,0.261844994758371,0.146022221917628,38,"P461-PWY hexitol fermentation to lactate, formate, ethanol and acetate",0.376514811136198,"SCFAs"
"N.MeFOSAA",0.123408075855067,-0.759140739982615,1.00595689169275,0.777167018617172,38,"PWY-7237 myo-, chiro- and scillo-inositol degradation",0.961276396265678,"Carbohydrates"
"PFBA",-0.181250636530437,-1.09034652944055,0.727845256379671,0.686768597470886,38,"PWY-7237 myo-, chiro- and scillo-inositol degradation",0.792425304774099,"Carbohydrates"
"PFDA",-0.289898787250219,-1.14914994815417,0.56935237365373,0.4960974939901,38,"PWY-7237 myo-, chiro- and scillo-inositol degradation",0.676496582713772,"Carbohydrates"
"PFDoA",0.549733278169366,-0.27540003937559,1.37486659571432,0.183764694091133,38,"PWY-7237 myo-, chiro- and scillo-inositol degradation",0.888383853353622,"Carbohydrates"
"PFHpA",-0.576056025305141,-1.35099275958969,0.198880708979408,0.13944777515997,38,"PWY-7237 myo-, chiro- and scillo-inositol degradation",0.376514811136198,"Carbohydrates"
"N.MeFOSAA",-0.812729485619708,-1.81160045056712,0.186141479327704,0.106991047595817,38,"BIFIDOSHUNT-PWY bifidobacterium shunt",0.401216428484313,"Carbohydrates"
"PFBA",0.00410476417978401,-1.07262458603266,1.08083411439223,0.993839550288023,38,"BIFIDOSHUNT-PWY bifidobacterium shunt",0.993839550288023,"Carbohydrates"
"PFDA",-0.346777066607059,-1.36146488871959,0.667910755505474,0.490576013206055,38,"BIFIDOSHUNT-PWY bifidobacterium shunt",0.676496582713772,"Carbohydrates"
"PFDoA",-0.454966768876611,-1.44475188444641,0.534818346693184,0.355353541341449,38,"BIFIDOSHUNT-PWY bifidobacterium shunt",0.888383853353622,"Carbohydrates"
"PFHpA",1.16737696327902,0.323170066826672,2.01158385973137,0.00834608195793274,38,"BIFIDOSHUNT-PWY bifidobacterium shunt",0.125191229368991,"Carbohydrates"
"N.MeFOSAA",-0.460335918918457,-1.24181720728546,0.321145369448544,0.238380073726571,38,"PWY-7456 mannan degradation",0.520390052625335,"Carbohydrates"
"PFBA",-0.777813034456713,-1.55050781529251,-0.00511825362091722,0.0485945400183155,38,"PWY-7456 mannan degradation",0.509460078507845,"Carbohydrates"
"PFDA",-0.544019584318621,-1.30138822003466,0.213349051397422,0.152790227939496,38,"PWY-7456 mannan degradation",0.668708209510124,"Carbohydrates"
"PFDoA",-0.0687909738996996,-0.838110914584948,0.700528966785549,0.856328044697914,38,"PWY-7456 mannan degradation",0.937447794410962,"Carbohydrates"
"PFHpA",-0.0821252992040142,-0.809528692995082,0.645278094587053,0.819208906238776,38,"PWY-7456 mannan degradation",0.861134608952454,"Carbohydrates"
"N.MeFOSAA",0.00307689233088389,-1.01095100220546,1.01710478686723,0.995096628309747,38,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I",0.995096628309747,"Cell Wall"
"PFBA",-0.279044781418268,-1.31984916349025,0.761759600653713,0.588056385666696,38,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I",0.792425304774099,"Cell Wall"
"PFDA",0.372927089634272,-0.610987367092841,1.35684154636138,0.444947087575968,38,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I",0.676496582713772,"Cell Wall"
"PFDoA",0.210730169719159,-0.761649637100189,1.18310997653851,0.661235009237399,38,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I",0.937447794410962,"Cell Wall"
"PFHpA",-0.658429215861191,-1.54786898045683,0.23101054873445,0.141037742689157,38,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I",0.376514811136198,"Cell Wall"
"N.MeFOSAA",-0.0353472793168886,-1.11415502033148,1.0434604616977,0.947093084973121,38,"PWY-7013 L-1,2-propanediol degradation",0.995096628309747,"SCFAs"
"PFBA",0.31722066808766,-0.789372151943687,1.42381348811901,0.562625880387647,38,"PWY-7013 L-1,2-propanediol degradation",0.792425304774099,"SCFAs"
"PFDA",0.258844870434474,-0.793991150831486,1.31168089170043,0.619260864560095,38,"PWY-7013 L-1,2-propanediol degradation",0.745815494563169,"SCFAs"
"PFDoA",-0.295866372961325,-1.32793485261459,0.736202106691937,0.562613835852448,38,"PWY-7013 L-1,2-propanediol degradation",0.937447794410962,"SCFAs"
"PFHpA",0.0847702181888687,-0.896439509358617,1.06597994573635,0.861134608952454,38,"PWY-7013 L-1,2-propanediol degradation",0.861134608952454,"SCFAs"
"N.MeFOSAA",0.587274447797282,-0.419443794724774,1.59399269031934,0.242848691225156,38,"COLANSYN-PWY colanic acid building blocks biosynthesis",0.520390052625335,"Cell Wall"
"PFBA",-0.0660905287726901,-1.12853789774024,0.996356840194857,0.899755289007187,38,"COLANSYN-PWY colanic acid building blocks biosynthesis",0.964023523936272,"Cell Wall"
"PFDA",-0.62295533993004,-1.60546732822141,0.359556648361334,0.205235855093568,38,"COLANSYN-PWY colanic acid building blocks biosynthesis",0.668708209510124,"Cell Wall"
"PFDoA",0.642563837784862,-0.319205542289044,1.60433321785877,0.182573079852033,38,"COLANSYN-PWY colanic acid building blocks biosynthesis",0.888383853353622,"Cell Wall"
"PFHpA",-0.323062637862187,-1.25275960563442,0.606634329910044,0.483386082725125,38,"COLANSYN-PWY colanic acid building blocks biosynthesis",0.618089492067122,"Cell Wall"
"N.MeFOSAA",-0.573365394975184,-1.55230056216178,0.405569772211413,0.241000728976305,38,"RHAMCAT-PWY L-rhamnose degradation I",0.520390052625335,"Carbohydrates"
"PFBA",0.82155420632847,-0.165600957334011,1.80870936999095,0.0995407527339861,38,"RHAMCAT-PWY L-rhamnose degradation I",0.509460078507845,"Carbohydrates"
"PFDA",-0.466565194271226,-1.43294339984115,0.499813011298695,0.332016923318018,38,"RHAMCAT-PWY L-rhamnose degradation I",0.668708209510124,"Carbohydrates"
"PFDoA",-0.21280213345475,-1.17351569994567,0.747911433036171,0.654255303250335,38,"RHAMCAT-PWY L-rhamnose degradation I",0.937447794410962,"Carbohydrates"
"PFHpA",0.63589145174388,-0.244502313683841,1.5162852171716,0.150605924454479,38,"RHAMCAT-PWY L-rhamnose degradation I",0.376514811136198,"Carbohydrates"
"N-detect",0.310077424524376,-0.103901684086771,0.724056533135524,0.136568964710486,38,"PWY-6737 starch degradation V",0.512133617664322,"Carbohydrates"
"N-detect",0.148222535458242,-0.207680324062295,0.504125394978779,0.401760788192464,38,"PWY-7111 pyruvate fermentation to isobutanol",0.860915974698137,"SCFAs"
"N-detect",0.371362123231631,-0.0398748629619063,0.782599109425169,0.0750431877072856,38,"COA-PWY coenzyme A biosynthesis I",0.43718067140517,"Vitamins & Cofactors"
"N-detect",0.00574134779612935,-0.282266924334556,0.293749619926815,0.967795227889344,38,"PWY-5484 glycolysis II",0.967795227889344,"Carbohydrates"
"N-detect",0.0647109892058879,-0.285605142478882,0.415027120890658,0.708641976266407,38,"PWY-6588 pyruvate fermentation to acetone",0.966796245969046,"SCFAs"
"N-detect",-0.143650774227249,-0.401100988783064,0.113799440328566,0.263496455929318,38,"ANAGLYCOLYSIS-PWY glycolysis III",0.658741139823294,"Carbohydrates"
"N-detect",-0.163181489868098,-0.445982064169422,0.119619084433225,0.247887684695672,38,"PWY-6572 chondroitin sulfate degradation I",0.658741139823294,"Cell Wall"
"N-detect",-0.315342359632188,-0.679852335793023,0.0491676165286456,0.087436134281034,38,"P461-PWY hexitol fermentation to lactate, formate, ethanol and acetate",0.43718067140517,"SCFAs"
"N-detect",-0.0538561478417493,-0.358723085691608,0.25101079000811,0.720794378517391,38,"PWY-7237 myo-, chiro- and scillo-inositol degradation",0.966796245969046,"Carbohydrates"
"N-detect",-0.0300773355519945,-0.390773185798575,0.330618514694586,0.86591837281806,38,"BIFIDOSHUNT-PWY bifidobacterium shunt",0.966796245969046,"Carbohydrates"
"N-detect",-0.230838823555391,-0.49371891591519,0.0320412688044077,0.0830046651066472,38,"PWY-7456 mannan degradation",0.43718067140517,"Carbohydrates"
"N-detect",-0.0523939001179822,-0.402417221179294,0.29762942094333,0.761943280906939,38,"UDPNAGSYN-PWY UDP-N-acetylglucosamine biosynthesis I",0.966796245969046,"Cell Wall"
"N-detect",0.0376545612012781,-0.335072351588118,0.410381473990675,0.837935112745459,38,"PWY-7013 L-1,2-propanediol degradation",0.966796245969046,"SCFAs"
"N-detect",0.0215758878421373,-0.334512148870977,0.377663924555251,0.902343162904443,38,"COLANSYN-PWY colanic acid building blocks biosynthesis",0.966796245969046,"Cell Wall"
"N-detect",0.0299959615349666,-0.31623572436472,0.376227647434654,0.860749889750753,38,"RHAMCAT-PWY L-rhamnose degradation I",0.966796245969046,"Carbohydrates"
